iterations,information_sets,exact_exploitability_bb_per_hand,exact_value_vs_random_bb_per_hand
100,288,0.6279587733042284,0.43703071880453676
500,288,0.26454890265386904,0.615600820132852
1000,288,0.19165732553165238,0.6985840962508579
20000,288,0.04236126814884865,0.7382060779969049
