iteration,advantage_loss_player_zero,advantage_loss_player_one,advantage_samples_player_zero,advantage_samples_player_one,strategy_samples
1620,19.499353408813477,15.93669319152832,536,707,100000
1640,15.941107749938965,19.12647819519043,969,1253,100000
1660,16.027435302734375,16.028806686401367,1664,1688,100000
1680,18.368688583374023,19.984477996826172,2518,2169,100000
1700,22.633623123168945,25.60053825378418,3314,2871,100000
1720,21.72252082824707,21.83864974975586,3987,3577,100000
1740,22.130456924438477,20.398681640625,4819,4254,100000
1760,21.035486221313477,17.989606857299805,5527,5060,100000
1780,21.2153263092041,15.805315017700195,6370,5934,100000
1800,23.266273498535156,18.41219139099121,7231,6796,100000
1820,19.356584548950195,19.95231056213379,8026,7607,100000
1840,20.948213577270508,23.387039184570312,8902,8542,100000
1860,26.880422592163086,18.89327049255371,9717,9410,100000
1880,17.969449996948242,17.210155487060547,10511,10210,100000
1900,21.414596557617188,18.89279556274414,11450,10970,100000
1920,22.99040985107422,16.604183197021484,12267,11635,100000
1940,24.645240783691406,23.20101547241211,13193,12312,100000
1960,26.465923309326172,21.008134841918945,14178,13100,100000
1980,21.509613037109375,17.377120971679688,15022,13823,100000
2000,22.80990982055664,22.24506378173828,15942,14568,100000
2020,22.385164260864258,21.23341178894043,16719,15207,100000
2040,19.511159896850586,28.247291564941406,17438,15928,100000
2060,19.44923210144043,22.229429244995117,18189,16752,100000
2080,23.4677677154541,20.79933738708496,18928,17391,100000
2100,20.720964431762695,23.50278091430664,19814,18209,100000
2120,23.071369171142578,23.277950286865234,20654,19025,100000
2140,20.55191421508789,21.288795471191406,21451,19851,100000
2160,24.42902946472168,23.985836029052734,22228,20652,100000
2180,21.729570388793945,23.959041595458984,23065,21296,100000
2200,24.08284568786621,21.592920303344727,23744,21988,100000
2220,21.16162872314453,25.37383270263672,24537,22574,100000
2240,21.353355407714844,20.082128524780273,25370,23269,100000
2260,28.3271484375,23.458818435668945,26081,23872,100000
2280,23.657894134521484,21.535160064697266,26811,24754,100000
2300,22.985416412353516,20.067276000976562,27593,25542,100000
2320,19.932567596435547,22.73746681213379,28230,26216,100000
2340,23.728214263916016,20.948545455932617,28877,26985,100000
2360,22.657169342041016,22.476211547851562,29518,27803,100000
2380,22.67996597290039,22.49658203125,30192,28600,100000
