iteration,advantage_loss_player_zero,advantage_loss_player_one,advantage_samples_player_zero,advantage_samples_player_one,strategy_samples
1620,18.839365005493164,20.669252395629883,573,667,2416
1640,19.80254364013672,17.475990295410156,1262,1422,5278
1660,21.80987548828125,18.204395294189453,2054,2160,8196
1680,25.40294647216797,22.088375091552734,2885,2712,10758
1700,22.489639282226562,24.629623413085938,3535,3332,13004
1720,19.101299285888672,18.80974006652832,4259,3835,15060
1740,23.04129981994629,19.65865707397461,5028,4408,17325
1760,21.497365951538086,20.105070114135742,5827,4926,19645
1780,23.563701629638672,22.767383575439453,6487,5541,21949
1800,25.767467498779297,22.021013259887695,7111,6131,24080
1820,31.693910598754883,20.71058464050293,7818,6675,26279
1840,24.068227767944336,22.132322311401367,8572,7226,28602
1860,26.39020538330078,23.535293579101562,9317,7972,31102
1880,25.09449577331543,19.793869018554688,9962,8732,33515
1900,25.441722869873047,19.314468383789062,10724,9316,35734
1920,21.451608657836914,20.42631721496582,11419,10154,38297
1940,23.37448501586914,25.48194694519043,12141,10983,40857
1960,24.44221305847168,24.17970848083496,12917,11667,43136
1980,23.47845458984375,23.431354522705078,13619,12316,45251
2000,26.900554656982422,23.46312713623047,14325,13133,47675
2020,25.934574127197266,26.47233009338379,14870,13947,49875
2040,29.80135154724121,23.29037857055664,15419,14643,51885
2060,25.026803970336914,24.290803909301758,15951,15344,53764
2080,26.89629364013672,23.032093048095703,16534,15941,55633
2100,24.457561492919922,19.82557487487793,17091,16614,57540
2120,23.855634689331055,28.757776260375977,17628,17162,59317
2140,25.714092254638672,29.117021560668945,18173,17751,61187
2160,25.44731903076172,23.468626022338867,18777,18408,63295
2180,24.179241180419922,19.29790687561035,19328,19037,65235
2200,25.44331932067871,23.66497802734375,19940,19648,67169
2220,25.78824806213379,22.749725341796875,20507,20320,69234
2240,24.55476188659668,23.794225692749023,21099,20990,71303
2260,29.78704071044922,24.10276985168457,21756,21656,73569
2280,27.812862396240234,28.366464614868164,22338,22361,75721
2300,28.549659729003906,22.597917556762695,22864,22906,77614
2320,29.024747848510742,22.747196197509766,23405,23494,79526
2340,27.07232666015625,23.860105514526367,23964,24122,81541
2360,23.79889678955078,23.389591217041016,24636,24648,83478
2380,27.335590362548828,25.44512939453125,25172,25261,85315
2400,24.024280548095703,24.043251037597656,25756,25924,87392
2420,27.048364639282227,24.123947143554688,26392,26604,89827
2440,30.106464385986328,22.3045711517334,27133,27230,92316
2460,30.059558868408203,25.7252140045166,27856,27869,94732
2480,24.4436092376709,26.145484924316406,28524,28609,97200
2500,26.992374420166016,24.805862426757812,29083,29268,99351
2520,29.802288055419922,22.13860321044922,29702,29953,100000
2540,27.37076187133789,26.229942321777344,30367,30737,100000
2560,26.901142120361328,23.297500610351562,31018,31536,100000
2580,25.535690307617188,23.38869857788086,31618,32307,100000
2600,29.019237518310547,23.21120834350586,32179,32949,100000
2620,27.05389976501465,24.692119598388672,32785,33651,100000
2640,28.21477508544922,21.61968231201172,33285,34383,100000
2660,27.749544143676758,21.45103645324707,33846,35036,100000
2680,21.191600799560547,28.51227569580078,34400,35812,100000
2700,25.305421829223633,23.930402755737305,34996,36502,100000
2720,25.54322624206543,25.378257751464844,35640,37284,100000
2740,26.30168914794922,26.539480209350586,36319,37984,100000
2760,28.439645767211914,25.06241226196289,36889,38768,100000
2780,24.393587112426758,23.6492977142334,37377,39496,100000
2800,26.608715057373047,24.59551239013672,37934,40117,100000
2820,27.314231872558594,24.62490463256836,38551,40812,100000
2840,24.259857177734375,24.05901527404785,39124,41471,100000
2860,27.356651306152344,27.765966415405273,39796,42133,100000
2880,31.486297607421875,23.177921295166016,40500,42699,100000
2900,26.484529495239258,24.595884323120117,41137,43370,100000
2920,28.059120178222656,24.625951766967773,41750,44028,100000
2940,29.08997917175293,25.44693374633789,42296,44642,100000
2960,23.190326690673828,26.045562744140625,42942,45254,100000
2980,22.775196075439453,23.265033721923828,43659,45938,100000
3000,21.72503662109375,23.359508514404297,44276,46722,100000
3020,33.131919860839844,28.562654495239258,44937,47477,100000
3040,24.279848098754883,25.183502197265625,45601,48211,100000
3060,29.099946975708008,22.817523956298828,46205,48908,100000
3080,28.877098083496094,28.245237350463867,46897,49548,100000
3100,24.85760498046875,26.363557815551758,47385,50217,100000
3120,24.276004791259766,26.271333694458008,47935,50850,100000
3140,25.154035568237305,25.137447357177734,48681,51540,100000
3160,29.937288284301758,29.322975158691406,49446,52207,100000
3180,27.08211326599121,22.480571746826172,50089,52855,100000
3200,27.076200485229492,24.174007415771484,50736,53493,100000
3220,26.59214210510254,23.90498161315918,51454,54179,100000
3240,26.366966247558594,26.095569610595703,51955,54805,100000
3260,24.643402099609375,22.354206085205078,52597,55553,100000
3280,21.653472900390625,27.249753952026367,53265,56230,100000
3300,28.15105438232422,23.88896942138672,53940,56933,100000
3320,24.084205627441406,22.800661087036133,54672,57511,100000
3340,22.894641876220703,27.55752182006836,55441,58277,100000
3360,26.04366683959961,19.652481079101562,56156,58954,100000
3380,29.470172882080078,27.121904373168945,56735,59599,100000
3400,23.79866600036621,26.861366271972656,57488,60137,100000
3420,22.597440719604492,20.71584129333496,58150,60779,100000
3440,24.51327896118164,28.870695114135742,58880,61512,100000
3460,28.415618896484375,26.61307144165039,59518,62166,100000
3480,26.500579833984375,24.783740997314453,60136,62936,100000
3500,22.544673919677734,25.796411514282227,60862,63650,100000
3520,28.970338821411133,25.086299896240234,61661,64389,100000
3540,23.129451751708984,23.20415687561035,62372,64951,100000
3560,21.361783981323242,22.859357833862305,63091,65650,100000
3580,25.1998348236084,23.470077514648438,63809,66408,100000
3600,28.35315704345703,24.591392517089844,64505,67073,100000
3620,28.90774154663086,26.967287063598633,65164,67725,100000
3640,25.3375244140625,26.49329948425293,65798,68403,100000
3660,27.486217498779297,23.194244384765625,66492,69079,100000
3680,22.747953414916992,29.912248611450195,67122,69651,100000
3700,19.306171417236328,25.87338638305664,67742,70307,100000
3720,25.103885650634766,25.291259765625,68409,70954,100000
3740,26.896596908569336,21.010541915893555,69101,71611,100000
3760,26.343358993530273,26.187171936035156,69686,72248,100000
3780,25.244808197021484,25.505481719970703,70396,72794,100000
3800,21.380220413208008,20.303298950195312,71061,73541,100000
3820,28.8448543548584,25.807809829711914,71710,74092,100000
3840,28.309741973876953,22.105253219604492,72394,74673,100000
3860,26.52707290649414,27.047653198242188,73083,75290,100000
3880,24.534265518188477,23.80199432373047,73872,76036,100000
3900,22.498554229736328,28.23930549621582,74606,76575,100000
3920,22.640825271606445,25.77621841430664,75316,77203,100000
3940,27.9891357421875,26.428224563598633,75966,77725,100000
3960,23.3060245513916,20.533645629882812,76619,78428,100000
3980,26.5363826751709,23.46122169494629,77389,79102,100000
4000,24.606164932250977,23.927589416503906,78243,79819,100000
